title,company,location, link
분석지원팀 - 데이터 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=4233609a843b5e96
"NAVER, LINE 서비스 플랫폼 운영",엔아이티서비스,성남 분당구,https://kr.indeed.com/viewjob?jk=ae4fe13ef3b2fcb6
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
2020년 수시 머신러닝(S/W) (8월17일 마감),에스에프에이,경기도 화성,https://kr.indeed.com/viewjob?jk=7acf56f46a29347d
[전문연구요원] 상시,네이버,서울,https://kr.indeed.com/viewjob?jk=b79c2ae536063b01
NAVER IDC 서버 운영/관리(춘천),NIT Service,춘천 동면,https://kr.indeed.com/viewjob?jk=de567c4b6b588c4c
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=432b169b273d9964
MySQL 운영 및 개발 DBA (경력),네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=3be9c091be0a88a8
(주)웨이브웨어 2020 년도 신입사원 (개발자),웨이브웨어,대전 유성구,https://kr.indeed.com/viewjob?jk=1261d7964780dcb4
현대오토에버 경력사원 대규모 상시,현대오토에버,서울,https://kr.indeed.com/viewjob?jk=ba9770b7b17a038e
Deep Learning R&D Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=58613b11ebe8779c
[기업부설연구소] SW 개발 정규직,다스코포레이션,경상북도 구미,https://kr.indeed.com/viewjob?jk=02d5da28948369a9
"인공지능(AI), 인공지능(AI) 외 경력 정규직",신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=90f259dbd9f3c40a
Senior R&D Engineer,Synopsys,서울,https://kr.indeed.com/viewjob?jk=4b6541fefc98ee60
소형전지사업부 경력,삼성SDI,충청남도 천안,https://kr.indeed.com/viewjob?jk=089931931a0474d5
2020년 하반기 소프트웨어 개발,메디칼이노베이션디벨로퍼,부산 해운대구,https://kr.indeed.com/viewjob?jk=80493e82a68b62e7
[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=02600c41e654780a
Data Analytics SA,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=62531072e6eeb4a8
Security Engineer (취약점 분석),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=96688eea9c1a9e28
Developers,Coinplug,경기도 성남,https://kr.indeed.com/viewjob?jk=9a9e91ae6092ed2d
Game AI Research 수시 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=a244522befae016a
[서울시뉴딜사업] IoT/빅데이터 분야 교육생,사단법인 한국벰스협회,서울 구로구,https://kr.indeed.com/viewjob?jk=b40498e72bdbc8a1
[Robotics] Deep Reinforcement Learning Engineer,네이버랩스,경기도,https://kr.indeed.com/viewjob?jk=30097c7df75e45a5
[국내 대기업/ IT / 게임회사] 크래시 수집 위한 클라이언트 프로그래머,글로벌터치코리아,경기도,https://kr.indeed.com/viewjob?jk=693ccbc3ab799a93
"JAVA, Python 외 신입/경력 정규직, 계약직",여니,경기도 의왕,https://kr.indeed.com/viewjob?jk=3faad1cd7ea60ffd
AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력,현대오토에버,서울 강남구,https://kr.indeed.com/viewjob?jk=483b5c30ed9ccb06
데스크탑 가상화(VDI) 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=530a598184580c95
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/viewjob?jk=665e5885dfd75df4
NAVER IDC 서버 운영/관리(평촌),NIT Service,안양 동안구,https://kr.indeed.com/viewjob?jk=097c35ed002a62e5
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=be6c1f03fa566f8e
유명 바이오 의료기기 스타트업 Backend 개발자,인파트너스,서울 서초구,https://kr.indeed.com/viewjob?jk=a548fccae71ef2a6
Field Data Scientist,Success Korea,경기도,https://kr.indeed.com/viewjob?jk=2892c67308e87f01
[기술플랫폼실] 정보보호 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=6e9819bc1b7015c9
빅데이터 분석 기술인력,한국정보기술단,과천 과천시,https://kr.indeed.com/viewjob?jk=3cc384be4fd74af2
글로벌 여행 스타트업 Trazy - 백엔드 개발자 (Python),트레이지(Trazy),서울 중구,https://kr.indeed.com/viewjob?jk=7c3e870969914d57
Datacenter Engineer (강원도 춘천 근무),Oracle,서울,https://kr.indeed.com/viewjob?jk=093f47c6ce49b7a8
2019 Military Service Exemption Position Available at the IBS CMCM (Synthetic Organic/Polymer Chemistry OR Theoretical Study of Carbon and Related Materials),울산과학기술원,울산 언양읍,https://kr.indeed.com/viewjob?jk=8becbf73bbda7c96
qe 소프트웨어 엔지니어,에이치알 코리아,대한민국,https://kr.indeed.com/viewjob?jk=85687b250386c4be
MongoDB Engineer,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=2695294aea6dc3b6
콘텐츠서비스개발팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b35da47f5e84c9b4
[카카오페이지] 글로벌 운영 플랫폼 개발자,카카오페이지,성남 분당구,https://kr.indeed.com/viewjob?jk=56a8fee3f5e20ffc
[허브클랜] 비즈니스 데이터 분석가 (Business Data Analyst) 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=26d1cbdbfbca34d4
소프트웨어 신입/경력 정규직,에스아이아이에스,대전 유성구,https://kr.indeed.com/viewjob?jk=b7dfe8c5a7ef1455
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
광고팀 - 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=3a08c7089343733d
"NAVER, LINE 서비스 플랫폼 운영",NIT Service,성남 삼평동,https://kr.indeed.com/viewjob?jk=285996f91e76a862
"MVP 개발 엔지니어(서버, 웹프론트) (정규직, 계약직, 프리랜서)",더테스터,대전 중구,https://kr.indeed.com/viewjob?jk=1748baa27965fdbf
Data Analyst,Axiologic Solutions,서울,https://kr.indeed.com/viewjob?jk=eb45c08f4c4a43d8
Lead Product Engineer - Liberate,Cadence Design Systems,경기도,https://kr.indeed.com/viewjob?jk=ffac42e32db26233
2020년 하반기 각 부문 신입/경력,스탠드포인트,서울 금천구,https://kr.indeed.com/viewjob?jk=158d61f253f65fb4
SW개발자 0명 자동화 산업장비 제조업,자동화 산업장비 제조업,대한민국,https://kr.indeed.com/viewjob?jk=80e215cfdccb251c
Solutions Engineer,Confluent,서울,https://kr.indeed.com/viewjob?jk=6a399a2c059ebbb1
Support Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=0bbf23c0930be392
인공지능(AI) SW개발 담당 0명 자동화 산업장비 제조업,자동화 산업장비 제조업,대한민국,https://kr.indeed.com/viewjob?jk=5164238b12d010da
Applications Engineer (Library Characterization),Synopsys,서울,https://kr.indeed.com/viewjob?jk=8c8700db243d1a3c
Machine Learning Researcher – Audio and Speech,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=aea07d26df8ae423
매칭팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=48090bdf1303bd76
"소프트웨어, 프로그래밍 정규직",삼정산업,포항 북구,https://kr.indeed.com/viewjob?jk=2078ccd1b792432d
MySQL Engineer,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=dd06066d79860614
(주)넷타겟 Bio-IT 융합 연구소 AI 연구원,넷타겟,대전 유성구,https://kr.indeed.com/viewjob?jk=83d8d1095db19dde
(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/viewjob?jk=9debec4c7f511ec8
Vertica Specialist Engineer,Micro Focus,서울,https://kr.indeed.com/viewjob?jk=b6b98977de0c5bd5
[금융사업클랜] 비즈니스 데이터 분석가 (Business Data Analyst) 영입,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=eca18a1897e5d4ea
[서울/수원/천안] IT 분야 취업 연계 훈련생,휴먼교육센터,천안 동남구,https://kr.indeed.com/viewjob?jk=b3bde1882ae8a1d8
카카오톡 보이스톡/페이스톡/라이브톡 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d585814d097935eb
유저프로파일팀 - 데이터 모델러,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=8dfc9993e2aa9160
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a746de9c7a6168ef
